id,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1489,242243,130738,164323,210392,466480,641042,613260,215415,207603,466589,365245,104384,543969,445873,305132,178293,109061,113868,26440,465730,37069,201915
1490,206592,94284,156693,157375,181312,95614,192326,38257,478447,70959,581141,159883,174054,277848,203755,33620,34183,512033,242719,38378,167057,202562
1491,91929,465750,195448,149219,166675,533228,37112,32863,38969,354494,25957,37993,131404,26078,179783,419238,280968,303202,38777,105680,409000,197848
1492,107806,95615,298941,30918,173462,201811,208985,38365,265123,166302,206182,41818,140932,186184,300977,181140,178283,173957,67896,157490,240044,77813
1493,37900,289883,563215,46232,303179,298665,26916,26613,38262,431589,46335,37937,149150,25791,213873,460004,38290,181066,277821,287341,523363,526230
1494,346114,179241,306731,27412,95904,68120,209782,212598,38323,107983,42706,181069,346142,49451,91503,67958,173449,208929,40521,289248,282671,577045
1495,38391,38368,424129,38388,150968,39631,38253,465960,282012,179402,46552,208718,291929,5272,201102,257843,561604,32760,213799,94008,466203,277772
1496,41301,110878,280083,33605,46458,93347,39578,521204,240478,181054,79247,487334,359378,202471,210138,36849,293003,364826,447455,364290,611714,387723
1497,38391,198453,195448,38388,150968,38253,424129,39631,282012,306117,27696,41818,181140,183585,38956,140932,157490,173957,300977,178283,241501,77813
1498,181069,91503,196203,67958,346142,173449,40521,131530,25751,282671,467486,104384,209922,178293,277771,445873,109061,26440,500585,203666,207511,38782
1499,91929,465750,280083,149219,80678,38969,533228,671331,240478,32863,25957,159883,174054,33620,244904,171338,167057,424391,202562,166917,242719,466203
1500,107806,95615,30918,298941,173462,38365,131531,201811,208985,166302,206182,37937,114216,25791,432217,149150,155052,67898,38290,277821,181066,497753
1501,41301,110878,426174,33605,46458,521204,93347,181054,170316,79247,17703,37900,289883,563215,46232,303179,26916,26613,26771,299358,46335,431589
1502,11336,280134,179783,419238,105680,26078,280968,36849,38777,148829,318615,128083,280251,210138,202471,118879,104411,447455,364290,387723,213487,39625
1503,346114,179241,538333,306731,95904,38323,130027,209782,68120,168232,212863,206592,478112,156693,157375,94284,95614,38257,37065,192326,166670,305214
1504,242243,130738,164323,210392,466480,207603,365244,215415,365245,425426,613260,305248,291929,5272,512730,257843,32760,213799,561604,94008,277772,201102
1505,104384,277771,209922,445873,178293,114688,113868,26440,315459,500585,207511,107806,95615,30918,298941,173462,38365,265123,206182,208985,201811,166302
1506,159883,174054,171338,277848,244904,111787,482397,659463,242719,644002,303334,346114,179241,538333,95904,306731,68120,209782,212863,38323,42706,346651
1507,41818,21753,401004,38956,140932,157490,77813,178283,300977,173957,311008,242243,130738,164323,210392,466480,658786,365245,274456,215415,207603,466589
1508,37900,154276,289883,46232,563215,26771,38262,298665,465726,46335,26613,38391,198453,195448,38388,150968,38253,39631,424129,282012,27696,306117
1509,128083,280251,202471,210138,39625,364290,104411,447455,387723,293003,99320,181069,346142,91503,71898,196203,67958,40521,25751,173449,282671,289248
1510,37937,213873,114216,25791,149150,287341,185152,210844,38290,67898,155052,11336,179783,280134,36849,419238,38777,280968,105680,26078,120110,364813
1511,206592,478112,156693,181312,157375,95614,305214,192326,37065,70959,40520,41301,110878,33605,426174,46458,170316,93347,181054,521204,79247,17703
1512,305248,291929,5272,201102,257843,213799,512730,32760,561604,277772,94008,91929,465750,280083,149219,166675,38969,240478,533228,671331,25957,32863
1513,38391,38253,195448,38388,150968,465960,424129,39631,282012,306117,27696,104384,277771,209922,445873,178293,114688,26440,113868,465728,500585,315459
1514,181069,196203,91503,71898,346142,40521,173449,577045,25751,282671,131530,107806,95615,30918,298941,173462,38365,201811,418105,265123,38440,166302
1515,91929,465750,280083,149219,166675,671331,38969,533228,32863,25957,240478,128083,280251,202471,210138,39625,104411,364290,447455,442735,99320,658657
1516,41818,183585,38956,140932,21753,300977,67896,157490,173957,77813,311008,37900,154276,289883,563215,298665,26916,630950,39145,38262,431589,299358
1517,41301,110878,33605,426174,46458,521204,39578,181054,170316,17703,79247,279874,119117,171338,277848,33620,111787,166917,659463,242719,303334,202562
1518,11336,280134,179783,419238,36849,26078,105680,280968,364813,38777,120110,305248,291929,5272,201102,257843,213799,32760,561604,512730,94008,277772
1519,346114,179241,538333,306731,95904,38323,130027,209782,68120,42706,346651,37937,114216,25791,213873,149150,277821,38290,67898,210844,181066,185152
1520,242243,130738,364779,164323,466480,207603,274456,658786,215415,365245,466589,206592,478112,157375,156693,181312,478447,95614,37065,40520,305214,70959
1521,104384,277771,209922,305132,178293,114688,203666,26440,315459,38782,201915,11336,280134,179783,419238,36849,364813,239599,26078,280968,318615,197848
1522,279874,171338,277848,424391,119117,166917,202562,242719,111787,303334,659463,41818,183585,38956,140932,21753,67896,173957,300977,157490,77813,311008
1523,107806,95615,30918,298941,173462,201811,418105,38365,265123,38440,206182,91929,354175,280083,149219,166675,37112,240478,533228,32863,25957,671331
1524,37900,630950,154276,289883,563215,298665,38262,26916,299358,26613,46335,242243,130738,364779,164323,466480,215415,274456,641042,207603,365245,466589
1525,128083,280251,202471,210138,39625,658657,447455,104411,364290,442735,99320,346114,179241,538333,27412,306731,209782,212863,130027,42706,168232,68120
1526,37937,149150,25791,213873,114216,38290,181066,67898,185152,210844,277821,181069,346142,196203,91503,67958,577045,173449,25751,40521,289248,282671
1527,206592,478112,157375,156693,181312,95614,38257,478447,192326,37065,70959,38391,198453,195448,38388,150968,38253,39631,306117,282012,465960,27696
